KESİNTİ_NO,cagri_count
2317293,136.0
2363659,9.0
2318080,1.0
2361896,21.0
2315870,28.0
2360672,16.0
2360689,4.0
2345411,11.0
2358938,4.0
2320089,7.0
2320111,55.0
2340558,9.0
2316518,2.0
2340600,13.0
2340732,10.0
2340670,1.0
2321531,21.0
2342209,1.0
2347624,17.0
2321420,6.0
2316561,21.0
2317909,5.0
2322169,1.0
2347534,13.0
2357585,33.0
2343060,4.0
2339029,64.0
2349342,28.0
2335540,0.0
2364240,4.0
2321570,3.0
2320694,0.0
2320943,1.0
2317558,11.0
2336509,4.0
2360932,4.0
2319184,30.0
2317236,5.0
2316644,3.0
2333374,1.0
2342421,5.0
2365423,4.0
2345031,0.0
2337068,13.0
2355743,1.0
2348160,0.0
2355629,7.0
2352906,14.0
2346616,16.0
2342211,5.0
2365800,66.0
2356662,2.0
2343416,10.0
2356592,24.0
2343756,0.0
2347096,8.0
2316647,0.0
2355166,2.0
2356668,12.0
2356445,45.0
2317273,8.0
2317280,1.0
2359912,3.0
2351200,5.0
2338043,6.0
2356636,128.0
2347156,0.0
2348959,3.0
2316649,7.0
2320764,15.0
2337065,4.0
2337999,1.0
2334737,8.0
2342645,7.0
2319931,2.0
2355426,9.0
2356718,6.0
2348904,3.0
2358049,629.0
2319887,3.0
2334242,4.0
2338828,0.0
2366100,7.0
2319134,24.0
2340553,5.0
2362154,0.0
2319032,1.0
2317098,1.0
2320976,1.0
2316304,6.0
2359864,4.0
2359232,14.0
2334261,0.0
2354411,3.0
2354457,7.0
2343382,0.0
2340611,54.0
2321651,14.0
2338817,2.0
2359338,5.0
2351633,7.0
2337791,14.0
2343656,9.0
2338661,0.0
2355016,13.0
2319333,1.0
2334461,14.0
2317269,5.0
2366146,3.0
2319128,7.0
2360098,16.0
2360020,9.0
2360039,9.0
2318768,5.0
2341507,3.0
2347643,91.0
2348384,10.0
2338174,8.0
2358726,9.0
2318901,15.0
2339836,11.0
2320305,0.0
2365932,8.0
2353479,8.0
2359687,7.0
2359297,9.0
2316531,13.0
2355266,3.0
2357428,11.0
2355111,175.0
2355103,3.0
2337993,23.0
2358745,4.0
2316505,1.0
2354326,7.0
2353941,0.0
2354311,6.0
2333573,4.0
2345463,1.0
2332658,1.0
2355610,8.0
2355507,1.0
2358337,1.0
2348170,0.0
2338969,1.0
2339011,2.0
2358252,15.0
2336053,14.0
2357703,9.0
2347546,16.0
2351666,4.0
2317817,2.0
2320413,2.0
2319372,2.0
2354143,9.0
2320446,10.0
2364766,1.0
2361301,1.0
2366008,2.0
2347370,24.0
2352462,4.0
2321815,4.0
2343761,7.0
2345968,1.0
2319173,3.0
2332914,14.0
2318668,7.0
2334727,17.0
2355112,8.0
2355108,310.0
2338976,5.0
2348750,8.0
2333507,1.0
2338295,5.0
2319830,9.0
2315873,10.0
2360716,11.0
2348414,8.0
2349717,6.0
2345749,4.0
2343210,3.0
2335189,3.0
2358145,4.0
2342294,4.0
2354759,0.0
2348146,1.0
2359923,18.0
2365445,107.0
2337305,3.0
2320338,5.0
2343406,4.0
2338062,2.0
2338307,1.0
2349910,62.0
2349847,23.0
2358241,47.0
2332547,432.0
2354716,143.0
2335347,9.0
2317329,8.0
2356920,11.0
2361754,9.0
2345201,3.0
2350915,12.0
2342138,3.0
2358755,159.0
2320901,10.0
2335453,7.0
2340026,9.0
2320920,22.0
2333585,90.0
2317937,1.0
2317873,6.0
2337089,12.0
2344148,34.0
2356159,16.0
2349149,1.0
2361852,11.0
2349168,20.0
2358012,3.0
2343090,10.0
2351554,4.0
2321312,0.0
2343839,1.0
2350882,4.0
2338250,1.0
2342755,0.0
2317290,0.0
2352980,2.0
2342165,0.0
2350535,0.0
2343168,1.0
2354475,3.0
2354722,8.0
2354340,8.0
2354140,1.0
2361957,2.0
2332895,0.0
2316375,1.0
2320038,1.0
2361170,2.0
2334498,36.0
2343612,5.0
2354294,15.0
2354276,6.0
2353668,1.0
2353045,6.0
2349426,2.0
2343727,1.0
2337959,0.0
2318662,5.0
2364272,3.0
2320045,29.0
2362579,25.0
2352614,18.0
2320057,26.0
2320078,0.0
2352641,11.0
2360920,0.0
2351251,4.0
2321441,10.0
2353948,4.0
2353648,1.0
2354725,5.0
2334663,2.0
2341725,0.0
2321594,2.0
2358051,10.0
2361143,8.0
2362601,6.0
2333019,0.0
2318971,0.0
2317743,4.0
2355819,25.0
2341603,8.0
2341051,14.0
2360083,9.0
2318926,0.0
2321674,0.0
2362046,1.0
2338052,0.0
2352049,0.0
2321286,19.0
2348775,1.0
2344806,1.0
2319341,1.0
2319019,0.0
2358537,332.0
2338686,9.0
2341200,3.0
2344719,7.0
2340106,7.0
2352652,46.0
2363780,3.0
2358596,0.0
2334123,63.0
2321506,12.0
2342208,18.0
2342221,5.0
2357621,6.0
2357954,0.0
2357549,25.0
2356388,10.0
2345056,8.0
2341711,12.0
2342984,0.0
2349801,3.0
2334114,46.0
2345305,4.0
2344450,2.0
2361502,10.0
2346443,0.0
2363501,13.0
2357624,76.0
2354079,8.0
2321528,0.0
2321513,0.0
2351311,23.0
2344654,0.0
2362976,0.0
2344830,7.0
2317319,9.0
2334623,12.0
2354104,6.0
2354152,0.0
2343376,1.0
2354153,1.0
2347612,1.0
2343602,10.0
2345638,8.0
2341623,71.0
2347310,73.0
2317964,0.0
2358895,50.0
2361362,1.0
2362329,1.0
2361719,44.0
2338132,12.0
2346797,47.0
2333796,12.0
2319405,12.0
2356713,1.0
2364653,1.0
2365307,1.0
2363226,1.0
2349773,9.0
2365792,307.0
2357125,5.0
2318565,9.0
2320812,39.0
2344311,23.0
2355324,12.0
2340581,6.0
2352568,49.0
2316183,10.0
2357617,167.0
2364226,2.0
2338387,11.0
2362635,3.0
2334198,20.0
2332801,3.0
2350269,9.0
2364594,4.0
2321592,1.0
2354139,2.0
2357246,0.0
2334343,1.0
2334422,1.0
2354149,1.0
2354150,1.0
2339300,0.0
2332911,0.0
2360935,1.0
2354151,0.0
2347198,1.0
2352939,1.0
2361515,12.0
2319598,1.0
2357487,6.0
2364220,5.0
2316802,28.0
2354288,24.0
2348391,89.0
2355659,4.0
2361368,3.0
2355194,9.0
2317123,64.0
2349389,4.0
2333512,36.0
2350608,10.0
2365325,30.0
2320271,1.0
2361487,9.0
2341180,8.0
2362750,1.0
2356674,0.0
2346834,3.0
2346983,2.0
2349621,2.0
2345888,5.0
2320343,1.0
2361695,4.0
2361694,8.0
2355306,3.0
2350813,19.0
2358008,4.0
2316742,0.0
2340667,0.0
2358004,10.0
2363914,0.0
2340009,1.0
2334675,5.0
2359831,10.0
2355128,3.0
2334354,1.0
2334757,0.0
2351839,5.0
2342600,0.0
2342783,0.0
2342706,4.0
2342753,4.0
2350067,0.0
2335903,1.0
2317961,11.0
2344130,11.0
2334077,3.0
2320712,10.0
2362941,5.0
2345752,18.0
2361148,3.0
2353806,3.0
2318090,2.0
2361748,14.0
2363083,48.0
2344598,29.0
2341751,5.0
2350187,6.0
2345517,3.0
2342151,3.0
2363053,0.0
2340995,8.0
2358344,12.0
2361613,6.0
2350644,1.0
2364431,1.0
2354943,0.0
2362132,0.0
2361060,1.0
2317688,1.0
2345942,4.0
2366059,5.0
2343996,1.0
2353090,1.0
2361996,5.0
2343840,1.0
2361097,1.0
2358473,9.0
2316045,14.0
2340566,5.0
2354819,8.0
2357777,0.0
2357778,0.0
2357779,0.0
2350063,0.0
2334339,0.0
2316467,7.0
2362965,0.0
2332903,0.0
2362504,8.0
2355922,8.0
2357048,13.0
2361453,0.0
2359919,8.0
2352132,0.0
2361767,0.0
2350106,0.0
2334448,0.0
2340654,1.0
2319997,4.0
2365278,3.0
2345426,0.0
2319851,1.0
2319970,3.0
2318942,2.0
2344554,1.0
2316475,4.0
2341275,0.0
2318695,0.0
2340014,9.0
2341212,26.0
2316675,0.0
2363089,11.0
2338358,37.0
2316316,10.0
2341195,0.0
2357782,1.0
2350011,0.0
2350062,0.0
2357671,1.0
2350027,1.0
2358157,2.0
2358213,0.0
2350250,0.0
2350028,1.0
2357530,13.0
2359427,16.0
2360820,89.0
2348758,3.0
2361662,76.0
2351014,21.0
2320766,23.0
2355098,10.0
2320908,23.0
2360774,12.0
2345044,3.0
2356675,3.0
2360996,29.0
2354224,0.0
2332913,3.0
2354307,4.0
2351529,34.0
2350976,12.0
2335419,14.0
2353808,8.0
2339361,52.0
2342826,58.0
2355116,6.0
2321542,12.0
2348118,5.0
2363675,42.0
2318697,5.0
2358206,0.0
2335982,23.0
2349843,0.0
2319579,3.0
2356714,24.0
2356716,5.0
2353023,13.0
2352618,0.0
2336528,0.0
2365729,8.0
2321567,13.0
2365964,26.0
2362083,9.0
2355469,3.0
2360893,8.0
2339294,5.0
2320752,42.0
2343162,3.0
2355648,3.0
2319102,3.0
2346969,0.0
2349467,0.0
2334702,1.0
2358281,3.0
2358488,15.0
2351972,2.0
2321571,2.0
2363221,3.0
2317317,2.0
2361443,6.0
2354797,2.0
2319314,17.0
2321679,5.0
2356434,15.0
2320975,3.0
2361766,10.0
2361659,9.0
2357161,8.0
2363279,3.0
2363660,4.0
2318559,69.0
2361488,102.0
2320884,0.0
2321318,2.0
2347250,112.0
2352453,0.0
2346156,0.0
2346331,0.0
2317905,1.0
2317530,0.0
2337952,0.0
2334734,0.0
2353036,0.0
2342841,0.0
2359293,1.0
2319113,65.0
2340020,21.0
2337527,2.0
2320704,2.0
2349996,2.0
2319846,14.0
2366148,8.0
2358528,8.0
2363620,15.0
2366045,9.0
2352492,21.0
2361839,3.0
2317520,2.0
2347726,9.0
2320670,2.0
2320917,2.0
2337269,2.0
2336479,2.0
2317856,4.0
2350579,2.0
2365530,0.0
2361636,4.0
2318029,3.0
2339233,5.0
2364830,6.0
2349454,4.0
2353677,4.0
2334395,10.0
2343929,2.0
2319130,72.0
2365648,781.0
2342478,4.0
2347264,9.0
2347701,6.0
2365302,3.0
2317654,14.0
2358137,26.0
2347063,18.0
2350008,9.0
2352282,19.0
2320501,0.0
2354018,0.0
2361049,6.0
2346842,7.0
2354758,4.0
2317074,2.0
2321641,26.0
2334366,3.0
2333384,2.0
2334863,10.0
2361639,12.0
2337171,23.0
2342641,5.0
2349274,4.0
2337929,6.0
2322492,2.0
2361739,3.0
2357494,7.0
2321319,2.0
2360708,0.0
2346732,20.0
2362175,8.0
2343722,5.0
2344979,51.0
2317346,2.0
2348166,5.0
2316872,10.0
2345861,66.0
2359872,8.0
2362613,2.0
2361745,3.0
2336300,198.0
2363936,4.0
2320891,20.0
2347858,2.0
2344259,4.0
2319668,12.0
2364557,5.0
2360501,2.0
2320677,2.0
2343631,3.0
2363799,6.0
2354609,3.0
2352338,17.0
2349084,16.0
2318484,768.0
2335964,4.0
2336034,10.0
2358150,10.0
2351798,12.0
2317116,7.0
2356038,8.0
2359333,49.0
2360186,3.0
2349656,3.0
2338067,2.0
2334700,20.0
2333722,3.0
2358227,3.0
2339043,33.0
2353469,59.0
2342742,24.0
2333455,11.0
2348950,14.0
2340863,6.0
2318883,2.0
2353014,5.0
2364542,33.0
2364774,30.0
2343223,2.0
2350703,5.0
2343250,5.0
2361816,10.0
2361812,4.0
2360597,3.0
2365635,9.0
2344254,3.0
2334262,4.0
2321372,6.0
2342091,4.0
2360707,13.0
2341067,7.0
2363969,3.0
2338122,2.0
2335731,2.0
2322313,2.0
2347497,23.0
2355013,18.0
2357091,4.0
2340067,4.0
2361732,142.0
2335989,27.0
2351775,5.0
2355701,7.0
2348007,9.0
2343407,6.0
2358066,5.0
2342991,7.0
2356490,3.0
2358420,2.0
2336702,3.0
2343068,1.0
2343224,4.0
2342484,7.0
2335665,18.0
2357577,10.0
2357660,10.0
2362725,0.0
2342343,9.0
2358249,11.0
2350123,8.0
2342239,7.0
2341756,7.0
2341797,4.0
2357503,34.0
2353211,7.0
2358434,17.0
2338630,16.0
2343000,0.0
2344677,3.0
2347535,3.0
2364847,0.0
2319510,4.0
2346467,20.0
2357578,29.0
2333924,3.0
2350654,3.0
2344925,7.0
2360015,59.0
2333869,2.0
2341644,6.0
2359997,4.0
2341729,7.0
2345048,5.0
2320742,0.0
2336840,0.0
2317156,1.0
2341216,0.0
2365871,0.0
2345929,2.0
2349407,0.0
2356664,61.0
2319799,5.0
2340679,0.0
2316110,2.0
2346791,4.0
2342391,17.0
2342172,0.0
2362426,16.0
2359786,5.0
2336113,4.0
2315900,8.0
2359457,5.0
2357623,5.0
2359523,2.0
2333779,0.0
2353559,6.0
2360867,10.0
2338220,10.0
2334050,2.0
2342665,3.0
2364060,8.0
2346115,3.0
2317445,11.0
2342288,9.0
2358396,16.0
2361676,6.0
2359420,5.0
2363922,2.0
2343344,26.0
2318643,19.0
2362719,2.0
2343923,9.0
2338076,3.0
2351324,8.0
2353687,3.0
2351174,5.0
2337996,2.0
2336516,3.0
2316770,2.0
2339289,6.0
2357740,5.0
2354179,11.0
2363119,0.0
2335608,5.0
2355099,4.0
2353934,18.0
2342169,7.0
2341786,4.0
2318663,5.0
2319354,7.0
2362786,7.0
2334473,3.0
2337905,5.0
2347828,16.0
2362044,19.0
2321539,3.0
2332951,4.0
2349698,1.0
2362708,14.0
2320264,4.0
2356116,12.0
2357896,15.0
2357887,27.0
2357855,13.0
2360409,1.0
2357815,9.0
2351210,3.0
2351176,5.0
2349187,12.0
2350658,13.0
2341270,11.0
2361449,30.0
2320598,11.0
2319316,10.0
2358284,14.0
2339618,0.0
2346444,50.0
2343356,10.0
2342696,4.0
2361535,6.0
2361470,5.0
2362176,2.0
2354054,6.0
2360339,6.0
2350203,5.0
2340481,3.0
2343465,3.0
2353402,1.0
2344227,10.0
2365428,5.0
2344384,1.0
2361067,24.0
2360845,82.0
2319081,4.0
2349743,7.0
2320888,9.0
2352425,12.0
2347792,17.0
2344743,7.0
2349445,7.0
2354547,10.0
2357227,19.0
2355725,10.0
2350540,6.0
2361633,13.0
2343804,11.0
2361696,4.0
2316204,1.0
2315913,4.0
2318548,10.0
2321961,1.0
2317162,2.0
2317400,7.0
2336695,15.0
2335128,16.0
2321810,9.0
2322063,35.0
2315979,2.0
2341201,5.0
2347614,27.0
2344763,3.0
2352278,6.0
2334170,29.0
2345656,79.0
2346658,16.0
2346338,81.0
2343694,16.0
2341762,0.0
2358220,15.0
2344899,6.0
2345307,6.0
2361723,12.0
2364070,0.0
2364044,4.0
2364461,6.0
2342183,1.0
2350548,0.0
2338913,68.0
2349872,3.0
2337637,5.0
2362723,11.0
2358311,10.0
2355542,5.0
2317557,4.0
2316012,7.0
2364265,5.0
2346712,59.0
2339179,45.0
2363535,4.0
2316185,9.0
2365802,24.0
2353774,7.0
2345813,10.0
2345457,10.0
2356922,23.0
2366087,6.0
2356661,178.0
2348365,1.0
2355089,360.0
2350607,4.0
2362977,8.0
2334299,11.0
2339193,6.0
2355094,6.0
2341133,7.0
2341192,6.0
2341398,4.0
2354545,5.0
2343461,0.0
2341714,0.0
2353347,15.0
2356812,4.0
2350284,107.0
2342433,0.0
2333055,4.0
2346540,3.0
2341722,0.0
2357988,0.0
2358030,6.0
2344281,7.0
2338453,10.0
2357307,2.0
2351229,2.0
2356701,4.0
2358843,6.0
2344225,6.0
2357119,6.0
2353741,0.0
2339319,238.0
2338039,4.0
2345405,11.0
2354395,0.0
2338885,8.0
2338737,4.0
2320141,11.0
2343662,4.0
2362681,4.0
2342993,3.0
2317960,39.0
2346367,6.0
2318520,9.0
2320914,6.0
2338141,6.0
2359547,2.0
2333738,10.0
2322053,5.0
2354893,9.0
2344924,37.0
2320886,0.0
2358321,19.0
2359035,8.0
2316787,76.0
2335992,8.0
2334152,2.0
2360457,21.0
2360053,7.0
2337768,6.0
2333706,0.0
2319897,9.0
2362208,9.0
2350226,10.0
2350806,11.0
2365826,9.0
2360048,2.0
2349930,9.0
2337634,8.0
2343267,1.0
2354290,4.0
2357932,2.0
2315992,3.0
2333957,12.0
2355929,40.0
2345113,26.0
2348651,5.0
2356124,6.0
2355959,7.0
2343855,1.0
2358869,0.0
2337290,0.0
2363545,0.0
2338645,6.0
2339440,0.0
2335328,2.0
2357121,4.0
2348835,0.0
2350209,13.0
2365834,20.0
2345130,5.0
2345046,5.0
2318097,0.0
2350272,1.0
2334235,0.0
2348079,2.0
2345165,19.0
2357254,0.0
2351782,0.0
2350050,0.0
2353128,1.0
2341686,2.0
2341688,2.0
2341342,0.0
2345432,0.0
2362696,0.0
2343783,2.0
2319325,0.0
2354896,1.0
2362249,1.0
2351240,1.0
2352648,0.0
2355570,30.0
2355556,8.0
2322163,0.0
2316690,5.0
2350175,1.0
2320789,1.0
2346264,1.0
2335490,7.0
2345074,7.0
2353106,3.0
2351326,1.0
2351860,5.0
2345640,1.0
2334740,3.0
2342630,3.0
2339720,7.0
2337894,8.0
2345485,1.0
2356660,13.0
2317396,4.0
2322066,19.0
2351185,6.0
2359262,0.0
2342494,1.0
2333795,3.0
2348105,5.0
2332933,3.0
2344283,3.0
2334842,3.0
2350398,4.0
2349186,5.0
2346164,0.0
2342438,13.0
2348058,5.0
2350823,0.0
2347555,17.0
2321538,8.0
2344246,10.0
2350306,12.0
2358379,5.0
2357442,3.0
2357360,5.0
2319880,14.0
2321025,0.0
2336324,8.0
2355642,4.0
2351861,3.0
2322461,3.0
2345982,3.0
2346390,6.0
2339632,3.0
2320793,5.0
2320660,4.0
2346889,5.0
2332921,3.0
2333963,4.0
2346454,4.0
2334600,12.0
2335705,11.0
2318899,6.0
2354122,5.0
2354566,3.0
2351082,58.0
2349074,0.0
2342718,10.0
2318813,0.0
2365036,8.0
2348171,3.0
2349451,25.0
2360696,2.0
2338846,12.0
2337830,4.0
2339315,3.0
2333502,4.0
2319674,4.0
2317274,5.0
2321453,21.0
2320386,8.0
2357211,3.0
2320559,20.0
2345770,4.0
2332934,3.0
2334886,3.0
2356457,5.0
2321001,3.0
2336471,3.0
2356280,4.0
2317660,19.0
2317182,29.0
2354208,19.0
2335832,33.0
2345315,9.0
2321258,3.0
2339938,4.0
2344953,5.0
2334585,4.0
2317626,8.0
2317270,6.0
2322020,3.0
2317629,3.0
2320563,8.0
2356125,5.0
2350517,76.0
2352696,3.0
2362048,6.0
2339897,8.0
2351011,5.0
2350448,4.0
2339219,5.0
2344964,11.0
2356561,32.0
2348068,67.0
2336875,19.0
2358435,227.0
2365213,21.0
2355577,4.0
2351548,1.0
2354043,4.0
2355054,4.0
2352657,0.0
2339013,10.0
2350034,1.0
2365206,2.0
2363802,0.0
2337047,0.0
2336333,0.0
2320515,0.0
2347908,0.0
2349466,4.0
2352246,18.0
2353765,15.0
2353190,9.0
2318117,9.0
2359527,1.0
2357313,28.0
2361219,137.0
2357276,18.0
2317636,57.0
2350161,2.0
2359933,5.0
2349337,9.0
2316445,0.0
2344680,0.0
2317582,0.0
2363698,1.0
2363194,0.0
2351643,2.0
2320877,0.0
2334470,0.0
2345132,0.0
2332645,0.0
2358610,0.0
2361623,20.0
2358458,1.0
2358471,0.0
2359852,7.0
2363790,3.0
2338380,8.0
2364909,0.0
2337747,4.0
2362624,3.0
2354786,5.0
2339425,0.0
2338496,33.0
2338522,8.0
2321239,0.0
2357910,4.0
2346840,2.0
2316476,3.0
2338371,22.0
2355984,10.0
2317286,12.0
2357741,3.0
2316560,2.0
2334284,3.0
2342974,1.0
2340041,5.0
2334537,8.0
2332898,2.0
2318660,0.0
2354563,14.0
2338706,5.0
2349278,5.0
2356689,10.0
2350385,20.0
2356644,506.0
2342420,91.0
2335973,7.0
2361003,68.0
2320046,2.0
2319024,1.0
2320550,1.0
2320272,1.0
2320582,1.0
2318750,1.0
2318930,1.0
2338086,1.0
2364218,2.0
2338087,1.0
2320942,4.0
2320876,1.0
2320310,10.0
2357346,13.0
2355425,52.0
2342051,16.0
2355475,10.0
2336595,3.0
2353575,51.0
2345195,0.0
2315892,2.0
2341922,2.0
2332720,0.0
2363387,0.0
2351577,13.0
2356101,3.0
2332700,4.0
2365152,11.0
2322188,43.0
2361492,114.0
2320421,6.0
2320072,4.0
2320523,4.0
2346356,8.0
2333536,5.0
2358464,10.0
2317033,141.0
2354270,50.0
2365091,67.0
2357576,84.0
2355506,4.0
2334282,0.0
2334489,0.0
2322202,0.0
2320399,0.0
2342146,3.0
2363459,11.0
2363451,0.0
2358780,2.0
2358828,2.0
2345691,8.0
2345666,0.0
2345714,2.0
2345637,4.0
2345600,8.0
2361872,0.0
2353616,1.0
2346163,3.0
2320488,0.0
2353368,0.0
2340574,8.0
2348153,0.0
2346267,39.0
2318946,0.0
2358685,1.0
2316454,1.0
2316897,1.0
2342173,22.0
2337863,43.0
2336873,5.0
2355115,10.0
2344207,10.0
2343650,18.0
2344027,68.0
2354087,49.0
2352985,3.0
2352984,3.0
2315865,4.0
2350872,5.0
2354603,3.0
2351968,5.0
2352986,3.0
2352987,3.0
2334712,4.0
2351040,6.0
2362178,5.0
2345990,11.0
2317839,5.0
2348572,10.0
2346008,1.0
2354330,1.0
2333221,1.0
2333245,3.0
2317972,1.0
2340062,14.0
2341837,4.0
2364831,3.0
2362323,6.0
2337275,10.0
2337948,4.0
2322166,9.0
2360024,10.0
2359991,10.0
2334255,6.0
2361581,20.0
2343216,6.0
2334506,6.0
2348030,4.0
2356123,14.0
2321650,11.0
2335225,8.0
2345728,66.0
2336504,9.0
2357716,33.0
2317299,12.0
2353049,13.0
2344809,13.0
2317782,18.0
2334360,31.0
2351855,46.0
2349920,26.0
2350419,30.0
2318661,3.0
2363818,7.0
2344460,0.0
2337977,6.0
2318449,7.0
2339305,32.0
2355545,63.0
2320025,14.0
2355544,54.0
2341220,6.0
2339329,4.0
2355833,0.0
2320902,5.0
2347437,5.0
2361825,1.0
2337073,30.0
2355790,18.0
2357088,10.0
2355633,21.0
2352551,2.0
